"","operator","market","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"150","Barber Blue Sea Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"151","Canisa","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"152","Ro-Lo Pacific Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"153","United States Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"154","Admiral Shipping","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"155","BSC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7
"156","Evergreen","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,15,15,15,16,16,16,16,16,16,16,16,16,16
"157","India SS","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"158","Norient Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"159","TFH Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4
"160","Wilhelmsen Lines A/S","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,5,5,6,6,6,6,6,6,6,6,6
"161","Canmar/OOCL","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"162","CD","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
"163","Compania Chilena de Navegacion Interoceanica","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"164","Constellation","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
"165","Deppe","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
