,page???????????????,operator,market_level_route,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
148,3,Y-S Line,Transpacific,NA,NA,NA,E,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
149,12,Admiral Lines,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,E,1,E,1,X,1,1,1,1,1,1,1,1
150,,Chargeurs Reunis,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,12,Cie Generale Maritime,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,E,8,8,8,8,8,9,11,11,11,11,11,11
152,,Compagnie Maritime Belge,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,5,7,7,8,8,8,8,8,8,9,9,9,9
153,??2-2,East Asiatic Co. A/S,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,E,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
154,,Finland Steamship,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,,Hong Kong Cont Line,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
156,4,Nedlloyd,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,E,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
157,,P&O Containers,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,3,3,4,4,6,6,6,6
158,,Sinotrans,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
159,,Deutsche Afrika-Linien,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,,Elma,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,7,8,9,11,11,11,11,11,12,12,13,13,13,13
161,??2-3,Euro-Gulf,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,4,4,4,4,4,4,4,E,4,4,4
162,,Harrison Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
163,,Hoegh Lines,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
164,,Ibero Lines,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
165,,KNSM,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,,OPDR,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
167,,Seas,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
