,operator,market_level_route,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
110,POL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,6,7,10,10,10,10,10,10,10,10,10,11,12,12,12,12
111,Sea-Land,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
112,Baltatlantic,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,Bank Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
114,BCL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,CCL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,Combi Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
117,Eurosal,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
118,Falline,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
119,Jugolinija,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,5,6,9,10,14,14,14,14,14,14,16,16,16,16,16,16
120,Kent Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
121,Pinillos,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,5,7,7,7,8,9,9,9,9,9,9,9,9,9,9
122,POL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,5,5,5,5,5,9,9,9,9,9,11,13,14,16,16,16,16
123,USSR,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
